p: 0.5,ibrida,arena: II;p: 0.5,alterazione,arena: I;p: 0.79,ripartizione,arena: I;p: 0.1,ibrida,arena: IV;p: 0.79,alterazione,arena: II;p: 0.5,ibrida,arena: III;p: 0.79,ibrida,arena: I;p: 0.5,alterazione,arena: IV;p: 0.1,alterazione,arena: III;p: 0.5,ibrida,arena: I;p: 0.79,ibrida,arena: II;p: 0.5,alterazione,arena: III;p: 0.1,ibrida,arena: I;p: 0.1,ripartizione,arena: II;p: 0.79,alterazione,arena: I;p: 0.1,ripartizione,arena: IV;p: 0.79,ripartizione,arena: IV;p: 0.79,ibrida,arena: IV;p: 0.1,ripartizione,arena: III;p: 0.1,alterazione,arena: IV;p: 0.5,alterazione,arena: II;p: 0.5,ripartizione,arena: IV;p: 0.79,ripartizione,arena: II;p: 0.1,ibrida,arena: III;p: 0.79,ripartizione,arena: III;p: 0.79,alterazione,arena: IV;p: 0.5,ripartizione,arena: III;p: 0.5,ibrida,arena: IV;p: 0.5,ripartizione,arena: I;p: 0.79,alterazione,arena: III;p: 0.1,alterazione,arena: II;p: 0.1,ibrida,arena: II;p: 0.1,ripartizione,arena: I;p: 0.5,ripartizione,arena: II;p: 0.79,ibrida,arena: III;p: 0.1,alterazione,arena: I
63.9327;82.7734;79.846;110.6985;51.4895;180.0041;83.0488;60.285;221.2071;82.551;52.8541;280.8338;83.2072;64.9836;81.4171;119.491;43.7841;52.5622;203.6564;106.9626;57.91;15.5412;6.7022;156.1076;156.5499;100.7565;5.8992;96.8009;82.4875;107.6102;34.2233;16.4716;81.606;16.4198;109.1891;84.2465
64.6782;82.9289;80.9326;118.7766;52.8166;119.1347;80.8653;111.3285;219.8074;83.3454;52.6341;0.0;82.5324;41.515;83.5701;63.2666;51.1524;124.6425;262.8468;48.8151;51.9757;4.7717;12.1865;22.7948;53.6085;28.3276;51.6045;80.7433;82.5213;106.6929;17.5322;22.3575;82.7583;33.3943;189.6004;78.1443
62.6158;83.0193;83.6861;111.7598;52.4417;112.7071;84.0438;103.0853;167.5529;82.2942;53.0699;273.1828;82.5326;6.3913;82.8243;67.8269;45.41;66.7673;141.8205;104.1617;36.7292;71.6786;16.2295;143.435;105.2074;10.3516;4.6271;52.8866;82.7809;151.2953;15.941;21.3721;80.5435;16.6954;111.3713;80.8336
56.5659;82.2929;84.7678;114.5765;70.0541;2.6889;82.355;58.4804;119.4604;82.5707;41.6586;1.7154;81.1111;41.8966;83.1648;60.0139;50.1207;51.2973;84.952;116.1729;39.6406;17.9629;31.2018;148.3463;226.2587;74.9977;6.8674;29.0779;81.8456;106.9109;11.8287;12.9113;83.3667;46.7755;258.3514;82.2427
64.8734;82.0159;82.5662;108.2977;64.5044;12.223;84.7011;53.2631;209.9889;82.526;51.0943;112.5788;81.21;15.8047;80.311;111.0163;50.1195;80.6312;50.0;50.951;62.6339;15.9629;14.6978;133.8416;46.6549;59.2841;24.0992;139.2151;83.809;109.6626;8.5982;18.5464;84.4864;6.775;118.8465;77.5406
65.2089;83.1189;81.0044;103.7251;51.8971;222.2286;81.1935;46.6469;123.1585;83.3685;52.4421;7.0424;83.2865;21.3483;81.796;103.5819;33.6372;171.6775;37.3054;118.5717;42.7397;6.6678;8.4145;27.6079;78.5653;8.085;18.2795;57.1661;81.2914;96.692;14.5446;15.0793;81.5356;13.0141;263.9035;78.5219
25.1962;78.471;82.8764;98.0492;53.4607;117.6004;78.7739;126.1239;170.0229;6.4677;36.4195;195.7863;82.2128;52.333;83.1236;57.448;0.1182;103.935;111.4915;100.8404;32.9524;78.9863;25.2179;119.1948;127.8307;26.5992;81.2526;60.6161;72.8623;208.3833;49.6801;14.4481;84.7472;34.6217;65.1433;83.8939
27.3839;79.757;82.0152;135.97;53.7762;188.6853;84.6229;37.5988;92.2347;83.4278;41.0753;148.3962;84.0424;53.8521;83.6881;105.0365;50.1176;112.9029;0.2504;94.5167;54.2299;134.1787;12.6849;1.6691;97.259;76.7893;142.3426;55.2991;72.9013;96.0991;40.5149;15.7232;80.9903;55.5878;94.8472;80.7037
34.9957;79.5557;83.1201;114.089;16.7832;76.6369;81.5306;83.7711;82.5715;82.9723;23.4271;202.4869;82.2531;52.8537;82.9403;98.4395;48.4398;106.5877;52.9713;97.3846;60.5008;143.7966;17.4788;345.0078;74.2291;75.398;135.7716;17.7063;75.3474;158.9367;9.8308;10.3312;83.6573;48.3646;166.8647;80.7618
35.1678;80.5858;81.6482;67.023;48.306;237.5235;81.3576;37.0996;171.8936;83.5022;30.8008;41.6416;83.9928;52.53;83.2053;53.0495;0.5141;102.0314;124.3878;153.8094;50.3984;131.9791;11.5948;357.1643;111.2791;94.7983;73.5587;57.3642;71.8505;266.7752;19.1961;26.1715;82.7404;51.6196;86.9023;82.2535
