p: 0.5,ibrida,arena: II;p: 0.5,alterazione,arena: I;p: 0.79,ripartizione,arena: I;p: 0.1,ibrida,arena: IV;p: 0.79,alterazione,arena: II;p: 0.5,ibrida,arena: III;p: 0.79,ibrida,arena: I;p: 0.5,alterazione,arena: IV;p: 0.1,alterazione,arena: III;p: 0.5,ibrida,arena: I;p: 0.79,ibrida,arena: II;p: 0.5,alterazione,arena: III;p: 0.1,ibrida,arena: I;p: 0.1,ripartizione,arena: II;p: 0.79,alterazione,arena: I;p: 0.1,ripartizione,arena: IV;p: 0.79,ripartizione,arena: IV;p: 0.79,ibrida,arena: IV;p: 0.1,ripartizione,arena: III;p: 0.1,alterazione,arena: IV;p: 0.5,alterazione,arena: II;p: 0.5,ripartizione,arena: IV;p: 0.79,ripartizione,arena: II;p: 0.1,ibrida,arena: III;p: 0.79,ripartizione,arena: III;p: 0.79,alterazione,arena: IV;p: 0.5,ripartizione,arena: III;p: 0.5,ibrida,arena: IV;p: 0.5,ripartizione,arena: I;p: 0.79,alterazione,arena: III;p: 0.1,alterazione,arena: II;p: 0.1,ibrida,arena: II;p: 0.1,ripartizione,arena: I;p: 0.5,ripartizione,arena: II;p: 0.79,ibrida,arena: III;p: 0.1,alterazione,arena: I
63.8646;83.6549;80.4624;109.8759;54.3101;120.6382;84.1963;49.2392;172.6523;82.2604;0.73;54.64;82.0609;6.6883;82.5897;90.6391;95.6799;69.5097;50.1179;65.6645;53.8958;15.1612;10.0273;151.4864;161.8604;1.7968;9.1028;56.7619;82.3821;156.5668;21.0583;0.6067;80.4699;33.711;23.9691;80.576
66.0077;83.4209;81.3449;119.5576;14.6905;7.5684;80.9575;72.0559;221.7621;82.104;52.9515;230.9467;79.9834;27.2071;82.1984;12.0237;44.588;69.8793;154.889;108.5514;45.6067;8.5297;6.1849;160.1316;64.7212;156.3763;3.7668;84.8817;83.2804;107.5711;20.3349;14.4853;81.5465;31.2858;159.8542;73.9063
57.3955;81.1768;84.0348;61.9483;63.2521;3.7929;78.9584;54.04;214.5338;80.3518;51.9938;0.2868;81.0737;40.5471;83.6979;75.7833;50.2361;68.4086;129.0926;35.6141;32.1912;0.3753;52.5909;205.8118;50.099;2.4572;9.9571;141.4176;82.8851;104.8959;11.7117;18.1347;79.9747;11.6326;10.6526;81.1418
65.8783;83.4721;83.0851;118.7128;58.9277;173.4513;81.8332;100.7695;204.6423;82.8752;0.4871;219.1675;81.9482;34.621;82.7429;121.5516;41.9678;133.6188;251.5194;113.3143;54.4836;0.7969;17.0046;40.6227;50.237;155.0387;118.7902;61.5507;82.1489;104.4781;13.6874;22.0644;79.2344;17.3894;186.6866;80.388
62.2419;82.0582;83.0539;65.3535;51.5048;117.8549;81.5021;40.9851;124.2463;82.237;43.9584;277.2235;82.7567;45.2805;82.8804;0.8366;194.3763;71.9437;160.8603;115.2741;35.5792;4.0324;21.7195;207.2224;61.2148;5.8329;7.855;50.6872;71.742;259.1849;11.4808;6.4772;83.8453;15.3044;163.4411;78.4205
65.6979;83.6913;82.0865;60.9995;49.8544;238.7555;82.4902;94.3401;220.4826;80.9886;51.694;218.9631;82.2811;7.9756;83.0059;0.6108;39.3442;70.3551;250.7594;60.4075;64.1888;5.6181;15.0723;151.1872;36.3709;59.7145;18.4772;113.4418;81.6394;211.1369;11.9033;12.0622;82.3538;18.3694;151.5838;78.7204
31.3576;77.5346;82.2902;64.4402;54.7154;243.2978;81.0934;35.9414;70.1361;83.1921;67.6728;147.1976;83.2436;36.2713;79.1771;78.6455;0.0855;107.0653;117.1606;141.9509;65.7037;131.613;23.3723;355.3988;84.2499;107.2108;126.6954;67.497;74.5408;265.8248;51.8734;8.9215;84.1196;47.1308;76.2124;83.2378
36.9852;78.9991;81.6212;57.4042;39.6737;129.7213;82.8224;98.6242;118.4524;82.8784;67.8267;93.3394;81.821;54.2169;81.2803;146.8665;0.1185;91.4566;407.7118;121.5644;63.9275;133.0115;12.1058;223.9439;96.7269;81.3268;73.5032;65.304;71.6421;263.6621;28.6415;21.5948;84.4084;44.1908;76.8861;81.5093
34.8492;74.6366;83.6993;105.4035;52.3332;132.9615;83.761;94.9583;9.3081;83.7231;14.6561;147.9553;83.5384;52.7369;82.744;105.8237;0.0;105.6148;0.2543;100.521;62.6349;181.6417;25.188;286.0266;215.1374;8.1114;145.1112;60.0336;75.4458;187.0455;5.8356;7.1737;83.944;47.6527;106.1166;81.14
20.9922;77.6203;81.5265;155.8596;68.7532;133.235;83.3984;144.6809;96.0906;84.0153;6.3827;142.0009;83.7323;52.1266;81.6719;149.1879;0.1192;112.6767;56.8226;104.4332;63.3489;83.262;16.3704;346.312;105.8041;91.9605;119.2131;53.758;74.5798;93.7552;24.9547;18.3046;84.6344;41.9585;68.5408;83.0631
35.0786;79.7557;82.3902;65.6672;70.0275;188.7301;81.8089;85.73;163.6949;83.6243;69.1591;143.5262;83.7295;52.0155;82.9064;83.7843;0.0;162.426;208.5684;93.9553;63.1421;135.4888;24.8295;293.0794;203.5808;51.0673;170.7569;51.9588;77.0005;133.5241;40.714;17.0693;82.9311;37.2988;95.5283;81.0815
34.996;79.4573;83.0086;91.0886;53.6727;228.3982;82.6025;105.2479;71.842;83.0461;33.3403;141.8025;81.149;54.1878;81.7625;210.0271;0.1178;84.9823;221.9483;131.22;57.2368;135.9258;16.3037;6.5983;139.0113;50.6718;32.2169;50.5621;76.1155;212.303;30.1821;17.2424;83.9779;56.0655;108.8806;81.0963
20.7787;80.7961;83.546;90.2192;53.2828;143.281;80.6384;46.7232;82.7481;84.1454;20.9458;91.7273;83.0409;36.9764;80.3576;103.8858;45.717;7.5874;5.6928;102.9866;61.9555;86.9615;23.6112;399.8121;210.4583;44.9146;194.1095;66.7327;70.7634;210.4155;6.0595;19.3192;83.9652;33.9429;110.0267;80.084
34.7959;79.2098;81.7758;65.1541;53.4486;187.2891;82.6678;41.4524;112.4205;83.0553;24.1182;148.0686;81.664;53.3784;84.2223;103.8694;0.0;59.0198;58.0694;27.9894;65.1258;192.7022;19.6004;8.5508;193.3598;89.8244;91.4159;64.9234;75.8658;91.6562;24.0413;20.7498;79.6002;35.1152;80.116;83.3278
33.301;80.7234;84.2528;60.6531;37.1662;233.8876;81.3733;35.8848;68.1459;82.0479;63.8998;149.162;84.3501;59.3192;82.0467;101.252;0.0;84.1838;5.52;33.9383;63.0284;88.9245;9.5614;304.6915;18.7976;57.4405;74.5073;53.4915;73.7763;249.1963;34.3329;13.271;84.4071;68.1735;69.4227;83.4608
32.9107;78.3374;81.0592;94.4607;44.5985;304.1779;82.1546;37.0073;171.976;84.0286;20.6727;136.4679;82.2954;24.2113;82.9978;156.0316;0.1177;31.4769;88.5262;58.7252;62.662;95.4577;5.9399;248.9191;214.9146;48.5052;37.8267;57.3289;74.0139;257.5594;48.292;21.9792;83.9999;29.2093;68.8506;80.7512
35.6055;81.3848;82.9798;102.3068;54.181;118.3245;83.2224;139.6385;101.8508;0.0;19.4333;204.0074;82.6711;52.0451;82.2494;155.4213;148.0535;159.5624;0.9232;149.8287;63.4816;43.1254;26.8054;8.0239;252.9942;23.7006;187.2028;9.7424;9.206;61.497;16.7647;7.1232;83.4857;51.0421;69.6298;82.2176
33.2031;79.476;84.3829;52.4643;43.3885;233.4864;81.3983;37.645;119.7918;77.1834;33.9467;138.9468;82.7552;52.2677;84.208;105.1318;147.6111;111.5763;4.9856;66.1988;59.7004;131.8672;13.111;7.4477;28.1677;95.8379;118.7087;11.1865;10.3822;40.7735;9.9416;30.9776;85.8751;17.7371;165.0477;82.6979
31.1748;77.8708;83.5391;111.1594;17.2546;215.9328;82.8676;96.7199;160.3416;82.4054;40.954;86.4667;82.6839;35.8798;83.0588;96.224;0.0;93.0109;5.9782;104.0261;61.2882;86.0835;14.9389;222.3028;221.8249;64.932;86.3137;57.4077;75.1604;262.6444;56.4903;12.6556;82.5622;36.1716;77.7141;81.4762
34.2165;81.2543;83.2943;54.1222;67.8919;242.2639;81.5032;35.8226;113.0378;81.4951;35.0604;96.1021;83.5523;52.4603;82.0843;153.5816;0.0;108.8682;89.975;105.4328;60.7507;88.4195;24.0647;408.7375;101.8995;53.2642;137.5471;6.0705;76.0493;195.4612;39.9077;13.7864;84.4923;50.109;81.788;80.1177
20.3549;80.601;83.1516;90.1396;54.8107;193.1586;82.0093;89.8585;112.8245;83.3867;67.8282;146.6182;82.679;32.8889;81.6427;58.4946;0.0;100.3478;402.4939;104.0745;62.5086;91.7971;27.8092;279.2044;92.2758;53.649;178.4774;15.6339;74.1141;97.2106;6.3847;14.1911;82.4999;59.4174;72.802;81.6187
26.8274;80.2175;83.3587;59.0341;58.6509;199.4499;83.8288;75.368;74.5797;83.6299;47.3292;30.3347;81.8137;54.6959;82.5946;148.0084;46.5014;148.1686;231.7568;97.5569;59.4313;138.5795;18.8898;5.3832;169.0134;81.9753;142.1189;65.2643;72.7536;97.8134;48.7323;19.3877;84.5391;48.9417;119.1653;82.1699
37.3865;80.9311;83.6395;113.6228;68.1755;193.8756;80.7789;98.0236;106.1768;83.1563;6.0626;145.8198;83.8495;55.2828;82.4093;110.8326;145.6527;99.2974;3.661;92.8816;61.0879;192.5861;26.3211;113.1538;107.33;50.7086;137.2365;14.6497;74.6421;264.5525;37.9508;11.4708;84.3667;46.9716;118.9511;83.1089
