p: 0.5,ibrida,arena: II;p: 0.5,alterazione,arena: I;p: 0.79,ripartizione,arena: I;p: 0.1,ibrida,arena: IV;p: 0.79,alterazione,arena: II;p: 0.5,ibrida,arena: III;p: 0.79,ibrida,arena: I;p: 0.5,alterazione,arena: IV;p: 0.1,alterazione,arena: III;p: 0.5,ibrida,arena: I;p: 0.79,ibrida,arena: II;p: 0.5,alterazione,arena: III;p: 0.1,ibrida,arena: I;p: 0.1,ripartizione,arena: II;p: 0.79,alterazione,arena: I;p: 0.1,ripartizione,arena: IV;p: 0.79,ripartizione,arena: IV;p: 0.79,ibrida,arena: IV;p: 0.1,ripartizione,arena: III;p: 0.1,alterazione,arena: IV;p: 0.5,alterazione,arena: II;p: 0.5,ripartizione,arena: IV;p: 0.79,ripartizione,arena: II;p: 0.1,ibrida,arena: III;p: 0.79,ripartizione,arena: III;p: 0.79,alterazione,arena: IV;p: 0.5,ripartizione,arena: III;p: 0.5,ibrida,arena: IV;p: 0.5,ripartizione,arena: I;p: 0.79,alterazione,arena: III;p: 0.1,alterazione,arena: II;p: 0.1,ibrida,arena: II;p: 0.1,ripartizione,arena: I;p: 0.5,ripartizione,arena: II;p: 0.79,ibrida,arena: III;p: 0.1,alterazione,arena: I
5.6318;0.1838;82.9921;44.9949;5.0949;3.5894;0.8083;46.3014;219.666;0.0;0.1053;0.0;84.2326;66.6105;24.3015;53.1061;0.0;0.9811;184.8924;62.7954;0.0;57.3826;5.287;34.932;0.0;50.4724;0.1911;76.7991;83.6043;0.2364;16.0567;24.9243;84.3098;19.854;16.6291;0.7881
41.248;4.6456;83.1535;47.9705;2.8078;4.416;2.8841;86.8404;112.5446;0.0;0.1214;0.0;83.2904;13.1127;24.3367;77.0788;0.0;52.0047;192.9996;103.302;0.0;3.0734;1.8246;35.3715;50.0;2.5259;49.878;60.3826;82.998;1.249;24.0343;21.7848;81.2643;29.7244;16.3444;2.4767
62.5349;38.1543;80.5614;62.38;34.068;0.0;83.7482;8.9781;9.9157;83.0699;0.0;0.0;0.0;44.6522;0.1436;67.411;48.8435;0.2135;155.4957;120.8313;60.7839;4.4027;0.5431;200.7316;0.0072;28.2851;6.576;69.5347;0.0;0.715;31.0096;21.5431;82.1479;15.2341;6.6328;5.0022
70.9003;5.9541;82.8125;65.8898;20.4325;0.0;84.7414;1.9508;107.7118;82.9357;0.0;0.4716;0.0;25.0817;0.1213;64.0229;55.5261;0.0;259.4885;86.9688;58.6436;5.484;3.6397;113.0689;8.3653;0.3542;50.2356;66.8487;0.1221;4.7239;17.1822;27.4361;79.5103;41.4645;1.3107;8.8644
16.2128;45.9241;64.4518;45.1897;28.0239;5.1972;83.1234;71.1816;222.1796;82.9467;0.4002;0.0;79.37;0.8076;0.3112;63.8222;46.4352;0.3556;120.6769;53.0541;0.2063;5.1568;0.244;201.5268;124.4521;0.1183;6.1884;114.5443;82.9134;50.3556;13.6449;13.1111;82.5267;23.1314;83.3885;6.2752
15.3011;48.1192;71.993;65.9357;20.7091;7.7379;79.679;64.3352;165.9648;82.2791;5.1057;0.0;83.2899;23.9069;1.7712;63.0953;50.5905;0.0;34.5512;48.8493;3.3709;2.3644;0.2431;142.5372;81.6974;8.5304;50.3538;91.7985;84.5298;50.942;9.228;10.3066;84.3412;29.2954;6.7416;1.9708
8.5695;68.7581;65.2651;4.1471;5.053;113.9707;79.1042;57.3044;68.3692;82.3085;29.2235;194.5293;83.2369;52.444;81.4571;154.1297;0.0;37.1431;65.9067;53.4215;63.6477;11.827;15.7803;7.016;51.9463;100.4795;210.9358;7.1985;41.9639;3.3094;0.3644;2.9085;80.2862;3.2657;166.3595;82.5846
18.7245;68.6852;66.744;57.0474;0.4874;101.1211;81.2057;100.7022;107.9798;83.1553;34.9753;35.858;84.3091;29.8067;82.8996;105.6738;50.0;0.3485;345.9045;55.1464;61.1226;84.4816;6.2129;177.8717;56.511;112.9226;91.1568;52.8265;41.0939;6.7193;0.3645;3.139;82.9886;6.6736;120.1872;80.7556
13.9977;1.6888;82.2054;4.9255;0.2431;11.8633;8.7449;0.0771;57.3306;80.6758;0.0544;78.0439;82.9723;60.9677;52.4298;208.6018;0.0886;103.7192;50.0;50.0;64.212;34.4001;0.0;8.5857;50.1179;39.8454;86.3242;0.6626;8.021;17.2237;1.6066;1.8744;83.2864;12.5322;84.7528;83.27
20.0654;2.6081;82.9123;10.9186;1.7749;16.6103;6.3225;50.3561;3.8661;82.031;12.303;66.8283;82.6661;68.0988;56.686;98.2253;0.0871;105.8954;0.0;0.0;65.5581;45.2668;0.0;7.0383;50.1176;69.292;77.788;13.1765;12.9557;61.9867;0.9724;3.1275;84.21;13.0882;93.1583;81.7251
