p: 0.79,ibrida,arena: III;;p: 0.1,alterazione,arena: I;;p: 0.1,alterazione,arena: II;;p: 0.79,alterazione,arena: IV;;p: 0.79,alterazione,arena: II;;p: 0.79,ripartizione,arena: IV;;p: 0.5,ibrida,arena: III;;p: 0.79,alterazione,arena: I;;p: 0.5,alterazione,arena: I;;p: 0.5,ripartizione,arena: I;;p: 0.5,ripartizione,arena: III;;p: 0.1,ibrida,arena: IV;;p: 0.1,alterazione,arena: IV;;p: 0.79,ibrida,arena: I;;p: 0.79,ibrida,arena: II;;p: 0.5,ripartizione,arena: IV;;p: 0.5,ibrida,arena: IV;;p: 0.79,ibrida,arena: IV;;p: 0.5,alterazione,arena: IV;;p: 0.1,ibrida,arena: I;;p: 0.1,ibrida,arena: II;;p: 0.1,ripartizione,arena: IV;;p: 0.1,ripartizione,arena: I;;p: 0.5,alterazione,arena: III;;p: 0.1,alterazione,arena: III;;p: 0.5,alterazione,arena: II;;p: 0.5,ripartizione,arena: II;;p: 0.1,ripartizione,arena: III;;p: 0.79,ripartizione,arena: III;;p: 0.5,ibrida,arena: I;;p: 0.1,ripartizione,arena: II;;p: 0.5,ibrida,arena: II;;p: 0.79,ripartizione,arena: II;;p: 0.1,ibrida,arena: III;;p: 0.79,alterazione,arena: III;;p: 0.79,ripartizione,arena: I
statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness
457;67.5086;694;43.2066;48;47.1975;162;2.5555;198;47.2388;277;65.6963;796;54.0308;243;79.057;801;49.0454;786;38.5766;776;39.722;213;91.2809;62;36.4189;169;53.6456;257;48.9943;801;25.4127;801;43.5841;457;77.5982;761;11.422;16;78.3837;176;43.103;12;50.6274;2;21.5773;493;8.4121;270;63.2661;801;42.0221;801;41.2036;38;55.5579;42;60.3706;800;48.4971;6;7.3399;801;44.4268;243;53.4189;178;82.1448;87;52.776;168;76.6026
478;53.2896;190;64.1654;67;54.8387;244;100.141;23;15.4278;103;71.3721;782;47.0722;153;52.9614;704;46.7262;801;49.4772;393;56.7075;253;101.8426;71;4.0376;110;79.2874;217;46.8914;180;41.6951;784;41.4619;278;55.9551;793;30.8646;116;78.4093;10;46.3955;15;70.2127;3;16.2548;801;50.6936;256;5.0289;494;29.6842;801;34.6728;6;6.1486;86;78.82;759;46.1732;17;1.7331;801;40.9315;539;56.159;261;57.071;261;42.0322;121;75.8088
609;50.0;133;76.8622;132;54.7267;275;65.5445;51;52.6156;539;68.157;790;49.9002;83;42.2592;801;46.091;787;55.7819;554;46.5;42;50.118;99;70.161;62;79.2436;36;45.8709;693;37.3166;742;41.6098;171;64.4466;791;58.3546;60;82.3;90;50.0588;39;51.931;22;77.0544;644;33.2344;381;124.0468;801;24.2867;801;46.3915;67;115.2878;147;62.2849;800;47.1403;9;3.9042;801;40.932;95;53.3546;148;259.5677;279;37.749;17;79.6062
488;52.1831;99;56.6407;140;46.5347;377;39.5023;256;18.2324;435;38.5849;800;23.536;290;53.8934;285;47.1106;801;47.0188;801;33.2904;60;50.0;21;17.1758;483;44.836;59;51.0829;768;50.0;800;32.0563;457;64.8106;199;52.5868;44;79.1861;84;52.9273;37;73.1137;12;77.3255;801;12.4844;223;7.1082;799;50.9725;801;46.2159;27;1.2748;511;77.5478;745;54.9382;17;29.2023;801;43.8928;107;43.4311;170;55.0781;705;35.0263;38;71.4414
83;0.507;18;52.7068;93;67.5495;679;56.7021;456;53.1655;236;72.1444;801;47.4274;164;49.3417;801;46.9542;801;38.7571;525;74.2653;55;48.023;234;50.0;74;78.5009;80;43.69;160;56.1043;754;34.8716;595;45.8823;801;30.369;164;48.5145;18;30.2599;107;4.3983;22;1.2989;749;19.5579;775;44.2854;801;46.1716;753;36.6055;76;152.7016;159;56.8157;801;31.9882;8;12.4526;384;39.7585;19;50.9775;177;112.0797;454;73.0864;73;52.7244
227;80.5315;9;70.9247;10;0.1213;77;8.8007;340;52.9817;170;92.2405;797;70.3322;181;57.919;781;42.8752;801;44.2638;801;59.4116;122;65.0766;164;52.2912;239;81.3392;205;44.3908;753;40.8713;801;41.9832;379;57.4368;206;51.8347;220;52.7233;82;53.9197;21;0.8745;6;78.1607;258;2.875;645;26.6242;801;38.1011;801;42.2168;51;2.6102;222;92.0436;785;46.8452;29;68.7905;801;44.2523;176;49.425;137;111.8032;283;81.9111;55;79.3115
37;50.0;4;0.1214;104;52.434;23;20.3375;282;41.2632;129;66.9031;801;39.4634;498;7.9916;762;42.0959;801;45.5591;801;25.3633;180;119.9671;797;14.5314;754;47.4763;204;53.0526;741;40.1059;284;51.9735;719;21.2457;775;17.8959;66;80.4244;88;53.2628;79;2.3255;34;78.8883;784;41.448;34;53.0867;448;48.7432;801;46.8823;53;56.0353;106;50.7806;180;47.3813;13;47.084;801;36.575;506;49.6783;193;66.7132;93;45.7146;234;79.7346
642;28.6166;302;46.8299;116;56.5714;524;5.2559;224;38.9886;214;65.6313;642;83.0959;138;78.5869;801;30.601;566;45.4515;800;42.256;152;60.9399;646;23.7007;166;56.7028;308;54.077;528;49.0643;801;30.155;8;50.0201;789;11.8361;55;79.3119;39;44.6835;79;115.9378;17;80.1229;81;0.0;27;5.4311;801;36.5483;801;32.5623;13;50.1343;184;64.2217;737;41.7318;16;16.3152;801;38.338;95;43.8525;401;59.0664;149;13.1471;13;80.5801
265;53.2559;64;4.0465;54;57.8183;85;4.1863;368;50.9531;144;7.8311;188;55.5935;225;43.2312;801;43.8584;801;46.1078;718;50.0;227;58.8806;143;59.5744;464;54.4785;133;51.8276;795;29.4127;111;51.5989;137;62.8372;785;29.9316;17;79.1263;131;46.9217;77;63.9941;10;77.3666;801;24.9741;275;71.7119;543;35.7642;767;43.8941;42;50.2359;26;50.6112;801;41.0566;21;11.9749;801;41.4162;80;51.6487;190;115.725;235;50.5597;203;48.9651
590;59.8772;5;55.3464;279;43.3206;50;0.101;278;47.8987;59;52.8989;583;13.3923;463;52.106;762;40.2215;801;43.127;788;21.8869;4;0.0859;444;67.6416;358;79.7558;298;45.2149;178;68.8985;542;27.9734;176;85.8285;801;8.2496;72;48.9305;23;46.5999;17;0.5224;21;80.4845;767;18.9272;307;45.9088;687;50.7518;801;31.7071;107;120.5351;225;114.3772;765;45.674;13;16.2776;796;38.6616;203;49.147;170;119.5701;298;32.3895;10;79.115
