p: 0.79,ibrida,arena: III;;p: 0.1,alterazione,arena: I;;p: 0.1,alterazione,arena: II;;p: 0.79,alterazione,arena: IV;;p: 0.79,alterazione,arena: II;;p: 0.79,ripartizione,arena: IV;;p: 0.5,ibrida,arena: III;;p: 0.79,alterazione,arena: I;;p: 0.5,alterazione,arena: I;;p: 0.5,ripartizione,arena: I;;p: 0.5,ripartizione,arena: III;;p: 0.1,ibrida,arena: IV;;p: 0.1,alterazione,arena: IV;;p: 0.79,ibrida,arena: I;;p: 0.79,ibrida,arena: II;;p: 0.5,ripartizione,arena: IV;;p: 0.5,ibrida,arena: IV;;p: 0.79,ibrida,arena: IV;;p: 0.5,alterazione,arena: IV;;p: 0.1,ibrida,arena: I;;p: 0.1,ibrida,arena: II;;p: 0.1,ripartizione,arena: IV;;p: 0.1,ripartizione,arena: I;;p: 0.5,alterazione,arena: III;;p: 0.1,alterazione,arena: III;;p: 0.5,alterazione,arena: II;;p: 0.5,ripartizione,arena: II;;p: 0.1,ripartizione,arena: III;;p: 0.79,ripartizione,arena: III;;p: 0.5,ibrida,arena: I;;p: 0.1,ripartizione,arena: II;;p: 0.5,ibrida,arena: II;;p: 0.79,ripartizione,arena: II;;p: 0.1,ibrida,arena: III;;p: 0.79,alterazione,arena: III;;p: 0.79,ripartizione,arena: I
statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness
71;57.0999;23;83.3917;216;56.5582;649;17.5747;56;50.4162;145;103.6494;202;55.2803;256;54.1633;801;41.6102;801;42.2798;750;57.6852;335;53.4365;173;40.1142;38;48.5999;132;50.8479;800;28.4604;792;38.3169;278;67.8164;801;28.006;105;77.348;139;51.8688;39;50.6293;13;80.6981;293;5.1793;614;25.834;613;50.62;801;47.9114;19;119.3707;31;50.0;519;41.852;7;65.0569;785;43.9144;126;58.7885;133;115.2015;40;0.1659;77;78.3047
379;117.0859;49;74.9892;101;49.815;395;58.1682;96;52.1236;177;63.1588;469;112.5742;35;22.9865;801;33.7452;801;41.3261;286;60.1843;793;81.363;362;50.0;240;78.1674;592;46.2874;377;57.8992;801;34.6895;109;64.0491;798;6.14;63;78.5993;146;54.6762;4;50.0;17;82.1615;51;50.1178;14;3.8394;796;47.2817;740;40.1126;27;66.4655;176;54.0563;801;37.0096;21;12.5632;505;39.7355;137;46.0198;173;119.373;150;4.3337;113;78.0759
435;60.8555;327;2.4594;20;4.874;114;3.382;210;53.1299;383;67.25;491;38.2902;69;6.2457;774;48.5023;801;45.1372;643;30.1409;133;61.5894;11;2.1441;105;74.9472;110;52.7648;732;33.7232;715;28.0309;330;61.6312;246;6.9365;37;79.1168;12;54.1904;39;117.7462;4;78.7787;664;41.5718;29;-13.8855;767;50.0287;801;41.0725;19;50.608;146;79.1456;801;39.1385;37;59.6098;399;43.3493;142;57.567;75;117.0486;668;51.6898;185;80.5132
756;88.9986;8;78.871;140;57.6463;593;42.9029;653;56.1855;85;68.4002;730;55.1577;180;77.8204;801;45.1901;801;47.8256;678;41.5657;6;50.3531;108;26.1517;73;76.2448;137;57.3393;629;40.9914;710;23.8836;155;28.388;792;22.5468;48;78.7892;169;57.7312;25;68.5761;35;78.9814;134;61.7037;168;8.5552;417;48.7741;788;41.3696;12;50.0;255;118.0878;801;50.686;4;18.5115;801;43.4826;120;46.2339;330;50.2052;183;52.5036;5;78.6614
260;56.2467;65;13.8237;2;10.1181;282;40.546;600;51.4492;81;103.985;748;37.1982;253;46.8269;482;46.2849;801;45.8835;732;22.2282;69;37.3693;186;103.6832;114;78.7295;244;50.996;753;52.4175;801;37.879;678;64.9942;362;6.6454;14;46.5354;152;42.7882;85;62.5743;4;76.2562;684;30.2657;724;30.5212;801;43.1622;801;42.9357;12;50.0;276;64.4564;801;45.5013;21;65.2675;801;36.8096;83;52.008;148;116.1916;316;1.7918;70;78.598
408;62.4232;27;4.3738;9;12.878;357;41.0892;389;48.9123;232;89.0968;138;65.2181;120;73.9827;800;30.3595;801;44.5909;800;19.5576;223;116.5716;284;50.0;276;45.2477;542;41.474;205;47.2029;161;52.5119;224;87.8345;467;70.1939;32;78.553;21;11.6553;82;5.6426;12;14.7571;801;31.1768;648;34.2451;768;41.1515;801;43.9102;17;69.1129;97;79.5165;801;34.7202;15;39.9785;801;45.6703;180;51.6185;183;122.3362;98;66.0017;29;80.5705
443;68.143;59;77.3058;157;25.3934;325;0.4714;735;40.7653;40;50.0;759;35.9505;385;47.9617;801;46.5754;801;48.2514;224;5.7988;73;112.0779;174;59.8163;62;49.2421;309;44.2477;467;66.1307;756;27.4072;77;50.1573;782;37.8342;32;77.1326;274;52.218;161;116.379;16;79.982;592;9.1904;172;52.2948;801;27.3867;801;39.1948;100;118.5761;207;57.9189;654;37.6123;88;48.6582;411;51.5208;24;54.3147;65;74.0384;215;16.6553;91;77.9657
165;87.8885;76;55.2036;25;55.0128;158;0.5287;597;45.8038;119;66.301;381;67.7975;154;58.9783;697;45.5001;21;51.9229;615;55.6421;127;66.2612;28;0.2383;67;77.7173;644;50.7483;459;50.5413;525;44.2574;168;59.3093;420;5.8266;268;79.5398;38;43.7941;54;85.2187;10;15.8206;607;61.1137;513;20.4528;801;44.1817;801;46.2035;58;257.1062;147;50.1461;801;35.2133;19;16.7273;793;48.9628;38;40.5051;59;154.4037;85;7.9307;93;78.4531
325;73.8713;69;81.9116;25;4.2985;163;6.2548;209;52.7634;221;11.0882;618;62.5777;120;2.7731;374;27.1267;801;47.3266;745;27.8356;461;61.23;118;25.1958;17;72.1566;25;46.9823;735;60.5412;497;33.2789;316;52.8069;701;8.6164;133;79.3639;492;47.9858;2;50.0;25;78.6083;800;29.877;359;51.1499;801;52.0278;190;36.7737;7;50.0;76;56.5572;801;41.9454;82;42.5438;736;39.2073;196;52.9203;769;33.4534;230;51.6419;260;78.6462
212;119.8439;77;76.5614;197;51.1516;132;7.0018;35;55.3156;20;51.123;782;55.967;45;9.5647;801;38.9246;782;51.099;654;42.2176;45;74.4123;126;15.7715;270;53.8179;76;56.6066;569;66.7187;773;56.9012;549;72.1613;284;0.2356;158;80.4563;38;62.8297;12;111.9015;66;77.8526;247;8.7171;141;0.2351;801;46.2446;427;38.9643;60;71.6789;241;87.6085;801;49.785;38;24.4506;608;50.4639;115;52.017;318;73.891;311;5.803;70;80.9807
579;77.9672;153;53.4737;568;51.6406;515;0.8463;284;39.7974;106;11.872;177;62.3574;191;66.9117;801;44.5301;801;37.7857;801;50.7565;195;90.0425;485;29.2114;171;79.0745;311;49.3544;643;27.4217;736;67.4596;128;62.3679;801;29.9957;22;73.6912;152;47.1279;38;6.2695;3;76.4297;660;66.1477;126;49.7979;490;43.383;801;32.3609;8;50.0;256;116.5549;775;35.5573;14;45.1411;703;38.6952;71;59.1843;288;162.4448;388;57.0768;27;80.7892
242;52.1918;30;79.1615;24;5.2628;407;32.9345;120;53.8089;604;66.3045;763;12.7005;280;50.3485;801;48.9615;798;47.1676;373;49.8463;213;64.0096;160;37.9503;81;79.3726;342;54.1776;783;47.3704;671;17.2754;314;76.481;800;13.0644;23;75.3453;101;49.5066;108;63.8513;28;74.0325;798;6.091;433;12.8547;645;46.2172;799;46.1484;40;53.2278;162;50.0;801;40.9999;8;12.2325;801;37.9451;131;44.6582;53;56.0076;123;11.2907;50;82.3382
262;79.4424;231;52.9324;9;25.0197;97;6.0248;176;26.9912;194;99.8763;613;79.89;155;74.3411;711;41.6412;801;30.6146;712;52.5453;337;44.9083;801;54.076;131;51.6676;81;46.9141;792;32.1859;784;41.2291;420;67.6751;771;77.969;16;78.0872;292;59.0341;22;50.0;10;80.7861;786;42.319;280;76.9878;801;50.7811;801;40.0202;81;0.3312;258;124.0375;801;36.6155;4;44.2492;667;41.9436;32;56.9283;190;39.4552;556;2.9775;143;81.2748
76;47.9679;801;44.6069;3;7.5901;128;2.7612;436;49.553;119;51.3196;271;51.3789;347;53.6664;567;46.0291;610;46.6934;779;40.0062;68;8.0882;114;69.1321;262;53.9494;180;38.447;800;30.6655;797;16.5141;785;80.0984;727;6.1016;16;81.5124;53;18.4222;122;71.1924;7;70.5161;343;55.5295;59;0.0;786;44.9808;801;39.8662;45;78.2159;135;109.4128;801;40.6607;20;68.2154;801;40.3538;152;51.9079;74;51.4128;740;2.1167;79;80.2734
86;72.4993;54;81.1853;25;3.987;278;97.6727;105;57.0652;105;54.8607;497;91.7083;599;9.3845;801;36.4671;801;46.2459;58;56.7231;35;8.1566;76;68.1697;17;78.6252;79;54.8693;801;34.9806;332;50.7939;90;89.5162;746;1.3038;79;78.2462;167;58.7984;70;114.1531;34;81.6075;678;46.1047;280;1.3022;575;45.0923;801;40.7697;114;73.4501;423;151.1718;742;37.6115;4;2.6751;362;41.5436;376;43.0337;107;60.4274;402;53.4811;123;77.6045
311;64.2927;91;12.8172;25;57.3591;460;15.2623;548;34.7159;148;50.1245;801;45.9848;14;0.1213;801;42.5214;772;49.668;738;36.0102;148;65.9495;275;65.3484;170;51.3032;361;50.3273;796;28.6229;737;29.4935;513;45.2899;238;4.7469;123;78.4516;30;44.0757;32;6.8454;11;81.2709;801;0.1187;119;55.8608;779;48.2856;801;41.6157;118;215.273;386;68.0822;801;43.68;22;10.6219;793;36.5611;354;50.2025;138;115.2963;122;50.0;42;80.3465
228;72.4087;153;49.1127;42;57.3321;181;20.0649;209;55.4906;465;34.9184;734;73.7517;116;76.5473;296;42.5568;327;39.0217;801;109.8003;115;110.5878;494;53.5522;82;78.9904;14;59.2126;753;59.3528;289;52.7213;382;64.1757;798;26.8921;50;78.7431;34;59.0323;133;26.8135;11;79.7507;788;35.6236;92;74.594;801;44.5825;616;42.3023;60;81.0007;127;53.6063;785;39.0012;8;57.9467;801;48.2508;102;54.9109;166;104.861;527;30.5675;284;79.5973
392;79.9158;32;9.5751;136;40.9688;401;52.2676;725;51.0548;97;2.0946;800;51.3241;105;57.7483;801;15.2128;801;46.254;197;52.8703;379;52.7739;84;1.3589;101;59.3189;150;49.1108;801;22.9326;196;52.6052;96;6.9519;322;6.9716;17;78.4336;5;50.6563;34;51.4153;30;77.8423;710;54.1181;358;1.8889;556;45.1356;801;36.1332;78;205.8416;367;30.1183;801;40.6831;8;11.4081;361;28.8217;81;36.9853;67;117.4153;56;50.0569;5;80.8918
15;54.0206;25;79.282;67;55.4154;324;50.0;71;52.3622;196;57.5631;801;27.8275;89;56.3493;801;42.4941;656;44.985;745;35.5961;239;58.2712;233;1.305;356;50.4659;82;51.3228;690;31.5519;315;50.0806;738;44.063;695;62.4047;70;45.1699;80;34.4253;23;50.4415;4;78.2737;385;52.4482;104;17.4231;801;45.8229;236;27.3798;36;57.425;151;118.2918;801;49.5706;8;9.3243;801;43.3448;35;55.8462;778;65.3091;259;70.8096;124;49.5408
303;167.8016;608;48.6236;56;47.1758;95;0.7976;201;51.7697;440;68.9641;801;32.5929;5;56.1084;599;46.0134;801;44.3749;229;41.6268;46;64.5842;709;50.6301;801;44.9084;718;48.4292;681;22.9279;773;55.9023;33;50.0;800;17.8773;29;40.6569;769;54.1512;12;42.9275;8;79.2876;354;60.2109;287;17.0727;88;49.8973;707;42.2699;120;69.5997;202;216.2417;801;38.0463;34;14.621;794;47.9859;125;54.1966;455;38.8223;287;3.0787;86;78.7308
192;61.8954;71;77.587;506;44.1346;155;70.8037;215;53.5646;71;54.709;801;35.4168;161;75.7887;801;43.5548;801;43.3641;801;73.2207;50;50.1187;258;65.6709;166;79.4017;504;48.3871;519;109.1161;801;28.35;45;50.0;801;20.7446;66;79.5341;143;53.9246;43;13.3629;12;1.4584;301;3.7162;309;28.0406;800;38.7684;786;44.9929;114;74.3001;180;56.458;801;77.3882;16;45.1444;801;43.5099;24;54.03;130;63.2932;227;10.2435;105;71.9699
409;39.2982;254;50.3053;178;38.2403;101;0.7478;148;56.1575;163;54.7009;801;31.0847;443;49.8009;591;35.7252;801;45.0108;375;60.2223;511;55.194;119;115.3262;309;44.0077;225;51.3129;794;42.382;753;29.0213;564;82.9576;792;35.5576;7;77.0728;198;49.6024;32;4.5756;50;76.9619;801;3.4352;91;8.2541;667;51.2949;801;31.7906;93;124.0886;195;55.4435;801;46.1661;19;7.8919;800;47.7083;381;54.2446;121;30.9207;104;20.1121;110;75.9673
96;69.1082;192;27.3229;8;8.0818;212;4.9826;801;29.4902;164;52.8158;598;106.8146;553;45.767;801;44.3668;801;46.5177;486;104.2612;85;8.4878;681;2.9968;117;78.4945;469;40.5115;801;18.6701;326;53.6076;252;70.3147;647;17.9162;16;79.9284;64;43.6418;64;19.9123;12;4.3475;732;22.8525;62;127.885;801;36.1929;801;47.3664;60;55.0399;151;74.7467;801;41.2;7;25.4306;801;45.6225;162;50.6646;141;63.739;276;264.6861;70;78.0352
157;99.4905;145;45.4052;446;49.6497;229;4.434;119;48.904;86;50.137;600;54.0284;129;53.3705;570;43.5559;801;41.0258;277;51.6588;383;7.7704;663;30.0697;160;80.9709;206;43.8004;645;22.7422;761;35.5472;329;30.4705;708;14.8221;27;78.1941;128;45.3843;22;6.7248;11;80.4402;801;16.049;61;125.2602;801;46.4512;801;49.7318;98;64.433;368;115.9673;786;50.9071;4;11.3967;801;38.2702;208;52.1574;253;75.4283;343;55.2128;158;76.7754
289;62.2534;66;75.739;32;4.324;12;27.7789;127;47.3401;38;50.2656;789;33.3542;51;52.4936;671;41.2702;801;39.7461;801;47.4024;68;9.3285;171;5.7819;244;60.0426;126;54.1079;798;45.7579;790;47.0806;728;80.7883;503;0.7637;23;77.215;97;70.7723;37;61.9262;6;78.0994;555;6.3049;181;75.9538;455;39.2081;801;37.5309;48;110.6414;218;116.9184;786;41.2117;6;75.3081;801;38.7425;91;42.8474;196;119.2416;162;52.9265;454;53.4193
395;67.4428;783;52.0569;107;49.7008;154;5.0913;151;50.4709;57;61.6308;704;47.7587;107;52.2991;202;37.258;801;35.7707;801;43.4981;60;46.1764;777;0.244;182;53.2686;117;50.0059;796;32.2776;774;46.7766;558;66.3214;799;14.356;9;79.4884;267;35.5333;28;0.5896;35;78.5683;438;7.0834;365;15.283;801;24.0659;428;34.6322;11;56.8897;183;119.6522;786;48.5798;36;72.7817;801;47.237;31;35.3127;135;269.0749;737;50.955;68;76.5617
306;73.115;174;43.0834;388;51.4636;211;1.1724;379;52.4573;162;50.1188;800;27.1874;429;51.4504;801;50.8282;778;41.4253;313;108.6594;103;56.1558;263;39.0432;26;75.2692;456;47.4692;754;56.7629;801;37.5122;580;33.7549;179;57.705;109;80.7167;111;45.7386;40;51.3501;27;79.5791;751;52.8061;321;4.5665;639;51.1903;472;43.5713;54;62.1692;51;53.6588;801;46.879;5;11.4284;710;48.4703;215;46.3121;204;54.3186;187;112.4497;498;52.3682
240;54.061;36;15.0409;300;52.897;358;4.073;367;52.6793;396;62.6492;301;54.6625;453;49.4686;735;53.4457;801;39.1143;761;72.5674;210;70.0257;435;60.9455;98;48.8776;349;47.9535;793;43.1335;793;43.1379;170;66.4389;798;23.8219;52;80.3103;53;57.655;104;120.8976;57;80.4374;429;54.3904;176;5.928;302;44.2667;702;43.4404;152;158.1242;203;27.9482;799;45.4688;31;57.5299;801;46.3248;258;51.1343;236;63.6583;507;25.055;85;75.516
294;47.6725;100;69.1318;388;54.3792;323;56.0751;72;55.4108;130;50.0;727;28.4671;275;79.3881;586;32.6328;801;43.5277;801;25.7515;155;64.9202;45;72.2469;336;75.8034;20;39.4368;774;52.8469;301;26.0852;270;80.8139;663;26.3692;76;76.5506;205;50.5097;31;118.1931;15;79.0904;798;13.5933;26;1.0986;517;31.1466;801;42.2077;170;39.2384;181;111.4498;801;34.0345;2;12.8881;461;35.3862;226;51.2295;15;50.0;415;117.6275;457;66.7361
329;60.3687;11;12.4284;75;13.4885;253;68.95;186;8.7239;93;118.1176;354;6.3726;775;54.674;801;44.9839;801;46.8618;735;36.3742;120;66.1409;100;7.7857;253;66.5448;245;52.4228;801;37.5481;800;27.2848;96;51.0371;504;52.3352;83;79.4171;126;44.1513;47;116.3215;34;77.1782;745;13.5677;314;20.8855;745;48.0434;729;43.4166;64;59.9919;281;102.7264;801;50.5871;31;13.9456;600;43.2005;186;44.1824;471;23.0556;376;64.4244;282;48.3185
57;50.1017;54;75.224;228;49.9748;260;53.6564;69;52.8504;149;75.5481;602;44.4805;38;80.8026;258;43.0033;801;49.0495;737;34.6082;535;33.8586;664;55.1067;65;58.2081;85;46.4282;608;43.0163;414;59.4215;106;50.335;801;17.1665;53;77.4856;3;0.0849;16;50.0;7;11.6745;783;48.2706;155;61.0841;686;27.0656;801;44.6978;36;4.8986;395;197.6383;801;44.9103;7;0.7567;541;44.8659;206;53.2467;191;110.8423;153;50.6395;45;80.3883
201;69.3179;364;45.8717;274;50.6718;794;32.3451;242;62.7473;39;51.6598;738;25.7496;367;55.3451;796;43.2107;696;42.7557;564;51.8505;69;14.0119;85;118.0998;336;50.9187;55;54.4899;595;57.365;766;25.7204;274;116.5395;801;22.1825;9;77.9145;97;63.5862;33;5.6302;7;79.6223;801;19.8965;469;34.6661;801;40.2408;763;46.4363;102;112.5804;202;8.7349;801;36.7404;14;41.2852;801;45.2736;114;53.7653;57;58.6691;371;53.3604;370;54.5235
171;74.5522;57;80.8198;65;43.7871;320;65.7272;801;24.2264;184;59.9042;751;40.2435;62;48.0585;801;43.9119;801;41.6953;791;26.8168;150;70.1437;409;51.2899;73;55.1236;110;50.5478;159;41.4726;792;24.8543;574;62.8165;126;7.9703;57;79.023;125;49.231;70;69.175;8;80.8726;468;57.818;331;32.8545;488;49.3054;801;30.9369;23;1.1088;203;56.2743;765;47.67;31;74.3006;801;52.0343;121;43.1207;155;62.9065;546;53.0256;227;76.8009
138;55.1207;17;1.4344;774;50.2729;130;58.3417;103;55.4046;259;68.692;698;41.4513;109;54.6352;801;50.2389;801;45.6508;741;38.2414;74;50.0;56;50.0;179;74.9795;299;54.6692;555;44.8781;779;29.039;710;43.7908;788;25.8844;14;83.0029;25;46.2837;66;117.9321;24;79.6826;791;11.8296;22;0.5973;801;43.5806;801;45.4186;161;74.7163;341;120.2816;801;40.203;11;12.3068;801;46.571;217;55.2029;428;108.5447;773;17.5131;43;64.3081
252;74.7082;143;46.1405;50;54.78;513;1.2199;83;49.097;115;61.9836;681;57.6884;31;46.3995;801;35.5315;801;48.0296;801;48.125;27;50.3533;255;50.6258;29;74.7197;56;55.5491;790;31.1887;770;44.9427;385;75.3127;801;7.6502;15;76.8118;71;43.8461;35;56.0413;21;77.1032;318;55.8267;188;51.314;701;48.0558;800;43.8548;6;117.9034;95;57.8182;801;38.7623;47;51.5936;295;46.7356;132;48.9251;144;116.1602;499;49.7739;86;48.9669
403;15.4445;21;42.7112;242;2.7005;779;15.1385;380;14.2964;126;120.2119;771;136.1544;482;43.908;801;48.3559;738;47.9506;712;53.886;64;36.8322;140;46.2855;84;56.632;428;53.759;777;31.5326;793;74.9346;659;105.5425;551;44.5823;57;83.6459;73;46.8406;15;64.4901;16;79.1407;235;1.2072;265;208.4112;605;42.2182;801;32.7239;58;65.2102;113;57.4137;692;38.2841;20;43.4624;801;33.8498;17;52.9371;155;81.7377;237;53.3563;55;81.6827
264;47.4031;42;12.3299;99;3.3938;439;65.9624;543;13.476;86;50.6644;801;35.8015;155;50.7952;801;33.7414;724;43.9116;554;19.0717;53;0.947;419;55.8889;169;78.718;101;45.1156;278;76.3853;799;62.7968;71;50.0;503;1.1547;83;82.964;60;51.2294;25;1.8986;13;81.9953;546;52.09;99;-38.138;801;41.836;765;44.8088;70;55.5697;230;117.1767;801;48.2063;10;75.3873;785;46.1038;278;50.9168;501;84.5048;281;67.8567;131;80.1891
250;102.6712;751;51.575;112;42.4244;433;56.2515;70;13.7694;200;59.5739;176;53.3537;75;51.811;755;43.6877;772;45.546;469;50.9768;63;87.2218;305;59.0049;426;72.9904;801;47.4924;800;45.3693;471;54.4039;160;52.4007;692;2.9165;149;74.625;48;47.0994;17;50.997;17;79.586;175;61.5827;75;9.431;514;36.742;411;36.0084;16;64.2129;269;110.5491;801;46.2241;2;8.6029;801;46.5285;211;47.5965;152;114.2905;250;57.6523;101;78.3514
285;60.9933;107;62.9767;110;31.8482;396;54.5949;111;58.8252;240;60.0879;796;22.2369;36;54.9288;801;44.1355;801;50.8313;768;39.4007;35;57.5023;12;34.6582;477;43.7673;193;52.0229;202;50.6213;311;62.2263;149;68.2941;706;41.0608;68;81.8244;194;47.5542;155;109.2745;15;76.93;461;40.978;199;15.0092;801;32.3892;736;42.2332;13;51.7707;275;164.9458;801;44.1926;2;45.7815;712;44.1065;48;44.6505;335;133.9639;256;13.3942;79;77.1238
507;100.4155;202;46.7672;7;3.9569;200;57.6491;119;50.3268;353;72.6415;535;38.4067;188;54.9314;801;43.1927;801;37.1112;794;34.7292;98;26.0168;413;10.8841;195;76.4575;148;52.8325;798;40.9814;380;58.6022;589;109.9382;489;58.2702;67;78.8826;24;49.0869;18;11.0116;23;79.4936;19;27.5092;194;0.3143;801;42.0803;801;44.5537;66;114.1409;201;115.5881;616;46.9076;30;17.9099;801;45.9686;88;59.5803;38;50.2115;427;47.2689;37;61.4452
79;64.8584;38;63.2748;14;53.5601;293;32.9466;83;7.4243;120;112.4045;801;81.4958;232;75.5306;801;42.9968;801;27.3345;658;56.3924;62;61.7891;41;49.5678;543;75.746;460;43.1772;656;48.3029;666;55.149;226;50.438;530;3.1237;89;78.7439;10;42.7557;43;11.4535;6;75.3371;729;34.1856;692;37.0457;801;35.1311;801;51.0294;105;74.4027;140;52.6223;794;40.562;12;56.314;801;46.5169;48;53.0613;98;251.1573;801;0.4535;46;79.1092
273;119.1934;55;78.131;6;6.2284;567;32.0118;407;46.6804;90;64.2516;753;11.9275;465;80.1466;801;54.3659;745;43.1628;789;26.8646;138;87.107;589;1.7315;54;78.4657;222;56.5694;801;35.8569;277;58.1339;71;68.2392;685;29.9248;133;77.0627;200;44.8383;49;65.091;40;78.6166;750;18.8241;92;115.4893;801;49.6571;222;41.4299;20;4.5839;51;58.69;781;43.8552;22;29.4151;718;43.3361;14;59.0188;310;72.1384;716;40.1245;116;66.1833
294;48.2008;53;59.7625;31;4.1948;320;67.3285;268;53.8819;146;91.3258;801;25.3777;536;51.1048;801;19.23;788;40.2442;796;41.3341;272;86.9244;10;50.0;148;75.3921;93;52.9348;717;34.4126;801;42.8014;143;71.7668;570;62.2174;21;79.2488;17;24.7497;4;0.892;8;79.2207;476;33.7016;96;60.9761;801;50.6495;655;48.1835;93;71.9888;165;118.4195;801;44.1758;7;64.237;801;46.0051;237;43.1267;16;76.758;56;50.118;77;80.57
742;60.6015;50;46.9421;321;43.6591;156;5.6862;145;50.2719;113;7.1512;793;31.2014;229;49.8086;732;52.907;801;41.6023;798;32.9211;794;39.3899;729;20.7804;731;50.4881;326;49.5426;570;29.0085;247;51.4001;341;84.3601;789;9.4833;42;51.1901;32;42.8952;4;50.0;3;76.2526;655;55.5744;109;10.3472;641;49.2149;801;45.5359;47;70.5522;270;73.7211;801;37.7547;7;11.2669;801;45.6181;46;63.9561;43;54.8423;411;97.8096;65;73.3072
28;50.0;33;16.904;758;52.4607;113;113.9914;748;56.2024;180;64.5624;759;34.8964;801;51.6527;801;39.1728;801;44.4984;654;24.7211;92;89.0005;91;60.7909;210;45.826;28;43.3403;729;77.8372;627;37.1112;533;93.6007;250;19.6962;102;77.8951;203;51.6151;26;62.8995;9;77.2615;784;49.9806;176;220.8678;684;36.1787;801;47.3119;67;117.8339;143;55.6193;801;32.6891;10;40.461;795;42.8543;104;54.1979;215;119.8743;374;26.1124;242;68.0808
22;50.0;25;59.0685;134;50.5373;516;32.8868;28;12.273;33;118.6039;801;62.6127;258;70.1057;741;46.6073;801;40.4458;790;40.829;123;58.8587;428;5.5257;205;79.0735;755;45.8649;801;30.3606;801;9.3722;644;102.9016;726;41.3929;27;42.8795;38;11.5868;111;64.1611;5;80.1331;488;58.4396;60;13.2491;801;46.9965;801;32.8849;82;121.8818;271;114.5481;801;43.0437;2;0.1058;494;48.6129;76;52.3119;694;79.3242;544;21.7783;82;46.6927
70;59.517;69;79.8323;397;48.6746;62;1.9271;108;54.9334;22;53.4259;429;32.324;62;3.5646;801;46.8748;801;48.521;712;38.5062;210;55.1389;126;5.9937;513;74.2206;56;53.147;801;50.0;381;48.9653;191;86.3237;801;45.9672;15;77.5002;78;41.2816;57;114.9081;13;76.0911;247;3.8241;555;44.1822;800;45.8386;196;42.1179;82;57.4501;272;89.0494;656;48.4093;9;12.5725;551;44.4609;198;50.2208;589;53.6538;259;82.5755;465;65.9621
388;113.2897;6;0.1021;614;54.4548;324;5.2512;235;9.206;126;96.6623;780;17.7935;62;74.572;801;26.6286;300;54.6378;778;35.7816;155;116.0;14;2.3604;287;71.4821;290;50.3687;801;35.8817;616;25.4855;19;92.3732;756;1.7748;67;76.7006;183;25.3192;91;66.2343;25;81.5558;800;29.6673;799;15.0045;593;45.3236;801;48.1738;93;88.672;177;103.1829;399;45.3292;25;0.5276;801;30.0656;185;56.5366;171;54.2803;363;5.0302;78;52.5619
136;57.8657;166;73.5487;39;55.1129;193;44.8848;416;52.1301;103;64.6653;578;74.7384;366;48.843;582;43.8108;801;46.0698;779;36.0802;17;50.9402;709;10.8276;183;81.0366;349;49.1303;801;15.8475;789;48.8862;323;72.7466;742;7.8197;188;78.3311;33;47.0354;20;50.0;4;79.8219;801;16.8753;89;50.0;638;35.8158;801;44.9059;32;1.0363;254;69.3174;801;49.5579;17;13.4259;593;42.1663;300;55.5979;180;71.7945;369;6.1344;182;45.1188
441;86.4585;90;81.5828;414;44.5833;278;4.4761;195;50.5248;381;29.8292;781;39.4996;461;49.4478;801;31.3077;758;45.471;801;46.3869;41;66.4548;2;0.1006;134;76.2204;114;49.7409;782;43.3819;778;21.6373;535;70.0637;626;27.0058;6;78.0306;43;25.7362;13;3.3671;9;80.4183;756;14.2418;6;0.0;777;46.7286;801;47.8831;56;31.0097;174;66.0454;801;45.6972;54;40.5692;801;45.6097;277;52.3723;327;82.5147;99;11.2007;149;77.3628
461;115.316;7;12.2757;371;33.0742;419;24.8724;86;30.3415;23;3.7539;801;39.7525;292;20.5462;737;50.1864;801;42.8725;753;34.6388;68;50.0864;41;27.158;118;74.7477;711;47.8407;259;63.324;789;30.1737;12;50.3556;47;33.9781;88;80.4336;98;51.3951;49;69.9037;26;75.1361;401;9.5989;190;121.9472;801;51.3213;801;38.8589;89;73.1089;69;73.9801;801;45.1536;6;11.2911;757;41.9577;137;52.545;187;12.0833;425;30.096;67;68.7045
535;63.3921;16;9.3919;546;50.2835;699;24.991;188;76.1365;285;117.0798;341;62.3769;90;77.9812;801;40.0695;801;43.7747;786;26.0704;64;63.7673;89;68.838;121;71.217;295;52.4863;705;43.4979;796;15.2996;182;76.7399;724;7.0498;23;80.6522;460;47.0159;24;54.1842;6;7.9647;733;55.4923;159;65.6813;704;40.8461;798;49.0928;34;64.4337;225;210.7086;744;48.4488;40;43.4019;801;43.6114;49;38.8944;149;118.9877;93;9.4084;86;50.9947
